Metrics,AAPL,AMZN,GOOG,GOOGL,MSFT,TSLA
Testing-MSE,15.141625011543866,44.242355896958564,12.050575082509427,12.146359714076503,193.21469061303068,2.5486774471519897
Validation-MSE,1.6220766712170567,3.112289096043475,1.6012584621784742,1.6557434256711818,6.793620885788816,0.6827437433457004
testing-MAE,7.0719168984508105,7.413157447395275,5.036601102559153,4.838594588548647,8.059632507261254,3.832555078094511
validation-MAE,1.7041419662430288,3.047213696203914,1.659309122174228,1.7095243922254317,6.789046239988487,0.7097912640527877
testing-mape,3.666226131782178,8.03540087896361,5.103245130058272,4.247449801119882,20.51207549576782,1.1853567458670098
validation-mape,0.8391496043094441,1.077650161987922,0.9349368205969539,0.8627168776072224,2.0345363264610308,0.4381269627678512
testing-RMSE,3.401553532650395,2.5803873793678656,2.3199685818506333,2.1740045385252764,4.224783939411821,3.21962219180732
validation-RMSE,0.8938587396852914,1.346528128798174,1.04810310194824,0.8715000014206942,2.359548278487763,0.4731260541735946
testing-MPE,9.172866373918128,8.897768280051848,8.324872639043262,7.59308982439845,8.408971935394236,8.224898465094617
validation-MPE,4.769216661277863,4.1382575880474075,5.045747152938926,4.612442061146224,5.438226606314649,6.257226571481985
