Date,ticker_symbol,p_sentiment,Open,High,Low,Close,Volume,unrate,psr,m2,dspic,pce,reer,ir,ffer,tcs,indpro,ccpi
2015-01-02,AAPL,0.7661847332111168,27.8475,27.860001,26.8375,27.3325,212818400,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-02,AMZN,0.5061310612627966,15.629,15.7375,15.348,15.426,55664000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-02,GOOG,0.8461972522080087,26.378078,26.49077,26.133251,26.168653,28951268,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-02,GOOGL,0.8198232404507966,26.629999,26.790001,26.393999,26.477501,26480000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-02,MSFT,0.795557460916564,46.66,47.419998,46.540001,46.759998,27913900,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-02,TSLA,0.7101219157650234,14.858,14.883333,14.217333,14.620667,71466000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-05,AAPL,0.8466498267631531,27.0725,27.1625,26.352501,26.5625,257142000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-05,AMZN,0.7254014850883277,15.3505,15.419,15.0425,15.1095,55484000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-05,GOOG,0.8840528103985923,26.091366,26.14472,25.582764,25.623152,41196796,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-05,GOOGL,0.9694145698917084,26.3575,26.3995,25.887501,25.973,41182000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-05,MSFT,0.7563196311894816,46.369999,46.73,46.25,46.330002,39673900,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-05,TSLA,0.7285510880536038,14.303333,14.433333,13.810667,14.006,80527500,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-06,AAPL,0.7128938570765944,26.635,26.8575,26.157499,26.565001,263188400,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-06,AMZN,0.7573035031377111,15.112,15.15,14.619,14.7645,70380000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-06,GOOG,0.8569307169706711,25.679497,25.738087,24.983908,25.029282,57998800,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-06,GOOGL,0.8798758898113977,26.025,26.060499,25.2775,25.332001,54456000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-06,MSFT,0.8288745096469012,46.380001,46.75,45.540001,45.650002,36447900,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-06,TSLA,0.6581874402458358,14.004,14.28,13.614,14.085333,93928500,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-07,AAPL,0.744531372424346,26.799999,27.049999,26.674999,26.9375,160423600,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-07,AMZN,0.696571215311174,14.875,15.064,14.7665,14.921,52806000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-07,GOOG,0.8422736414243613,25.280592,25.292759,24.914099,24.986401,41301082,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-07,GOOGL,0.8823166351550212,25.547501,25.574499,25.182501,25.2575,46918000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-07,MSFT,0.7778959818257362,45.98,46.459999,45.490002,46.23,29114100,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-07,TSLA,0.6466264934588725,14.223333,14.318667,13.985333,14.063333,44526000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-08,AAPL,0.7698259827828027,27.307501,28.0375,27.174999,27.9725,237458000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-08,AMZN,0.640295118752291,15.016,15.157,14.8055,15.023,61768000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-08,GOOG,0.7675597948275901,24.831326,25.105074,24.482782,25.065184,67071641,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-08,GOOGL,0.7913793151376028,25.0755,25.375,24.750999,25.345501,73054000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-08,MSFT,0.7576790595785164,46.75,47.75,46.720001,47.59,29645200,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-08,TSLA,0.6965841807203782,14.187333,14.253333,14.000667,14.041333,51637500,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-09,AAPL,0.7739952263173171,28.1675,28.3125,27.5525,28.002501,214798000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-09,AMZN,0.6540468980843124,15.074,15.1435,14.834,14.8465,51848000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-09,GOOG,0.7264265830084559,25.1689,25.176876,24.671764,24.740576,41427428,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-09,GOOGL,0.7218795119378317,25.409,25.43,24.932501,25.035999,42000000,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
2015-01-09,MSFT,0.8703172553809603,47.610001,47.82,46.900002,47.189999,23944200,5.7,8.0,11759.1,13224.7,12036.5,106.11,1.8815,0.11483871,1069010.0,102.8479,239.811
